;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
7869;la mai mare;Expresie;1;0;0;1;0;0;1;0;0;0;DEX
7870;rămâne afiș;Expresie;0;0;0;0;0;0;0;0;1;0;DEX
7871;rămâne tablou;Expresie;0;0;0;0;0;0;0;0;1;0;DEX
7872;rămâne mască;Expresie;0;0;0;0;0;0;0;0;1;0;DEX
7880;da cu bâta-n baltă;Expresie;0;1;0;0;0;0;0;0;1;0;DEX
7881;lăsa baltă;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
7882;cădea în capcană;Expresie;0;1;0;0;0;1;0;1;1;0;DEX
7883;moară stricată;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
7903;se îneca în datorii;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
7904;îngloda în datorii;Expresie;0;1;1;0;0;1;0;1;0;0;DEX
7905;încurca în datorii;Expresie;0;1;1;0;0;1;0;1;0;0;DEX
7907;pune piedici;Expresie;0;1;1;0;0;0;0;1;0;0;ENG30-02557199-v
7908;ura succes;Expresie;1;0;0;1;0;0;0;0;0;0;DEX
7909;dori succes;Expresie;1;0;0;1;0;0;0;0;0;0;DEX
7915;între ciocan și nicovală;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
7916;linie de sosire;Expresie;0;0;0;1;0;0;0;0;0;0;ENG30-08571459-n
7917;teatru de păpuși;Expresie;1;0;0;0;0;0;1;0;1;0;ENG30-07019633-n
7925;prost crescut;Expresie;0;1;1;0;1;0;0;0;0;0;ENG30-01950857-a
7927;porumbel călător;Expresie;1;0;0;1;0;0;0;0;0;0;ENG30-01814921-n
7928;porumbel de poștă;Expresie;1;0;0;1;0;0;0;0;0;0;ENG30-01814921-n
7929;porumbel voiajor;Expresie;1;0;0;1;0;0;0;0;0;0;ENG30-01814921-n
7931;stăpânire de sine;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-04862005-n
7932;cu sânge rece;Expresie;0;1;0;0;0;1;0;0;0;0;ENG30-00164890-r
7933;face praf;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
7934;face praf și pulbere;Expresie;0;1;1;0;0;0;0;1;0;0;DEX
7935;arunca praf în ochi;Expresie;0;1;1;0;1;0;0;1;1;0;DEX
